clothing,resting_heartrate,thermal_cozie,nb_temp,user_id,t-ubi
10.0,74,10.0,31.312,enth01,23.907837
10.0,74,10.0,30.625,enth01,23.950562
10.0,74,10.0,27.312,enth01,23.923859
10.0,74,10.0,25.812,enth01,23.979935
10.0,71,10.0,28.688,enth01,24.599449
10.0,71,10.0,28.0,enth01,24.642174
10.0,71,10.0,30.125,enth01,25.165558
10.0,69,10.0,31.25,enth01,23.974594
10.0,69,10.0,29.125,enth01,24.001297
10.0,69,10.0,27.125,enth01,23.958572
10.0,69,10.0,27.125,enth01,23.987946
10.0,67,10.0,27.25,enth01,22.302971
10.0,67,10.0,27.375,enth01,22.134735
10.0,67,10.0,26.562,enth01,23.3836
10.0,67,10.0,26.0,enth01,23.7403
10.0,67,10.0,26.312,enth01,24.807739
10.0,67,10.0,26.188,enth01,23.7549
9.0,67,10.0,28.188,enth01,21.2371
9.0,67,10.0,28.688,enth01,21.161
9.0,67,10.0,28.625,enth01,21.1787
9.0,67,10.0,28.0,enth01,22.57534
9.0,68,10.0,28.5,enth01,22.799652
10.0,67,10.0,26.375,enth01,26.67000008
10.0,67,10.0,29.25,enth01,24.941254
10.0,68,10.0,27.688,enth01,22.281609
10.0,83,11.0,28.812,enth11,25.499352
10.0,85,10.0,28.438,enth11,25.769058
9.0,83,9.0,27.688,enth11,24.612801
9.0,83,9.0,27.438,enth11,26.5
9.0,83,9.0,27.438,enth11,24.628822
9.0,83,9.0,28.25,enth11,24.51667
10.0,84,11.0,28.062,enth11,24.460594
10.0,84,11.0,28.0,enth11,23.8571
10.0,84,11.0,27.375,enth11,24.532692
10.0,86,10.0,27.625,enth11,23.7101
10.0,86,10.0,27.125,enth11,23.6037
10.0,85,10.0,26.875,enth11,24.1356
10.0,85,10.0,26.938,enth11,24.559395
10.0,85,10.0,27.062,enth11,24.532692
10.0,85,10.0,27.312,enth11,24.602119
10.0,85,10.0,26.938,enth11,24.615471
10.0,84,9.0,26.688,enth11,23.7966
10.0,84,10.0,30.938,enth11,27.7
10.0,84,10.0,31.0,enth11,27.8
10.0,84,10.0,32.812,enth11,27.9
10.0,86,10.0,26.875,enth11,23.7987
10.0,86,10.0,27.688,enth11,24.6425
10.0,86,10.0,27.875,enth11,24.8657
10.0,86,10.0,27.625,enth11,24.9857
10.0,86,10.0,29.312,enth11,28.09491
10.0,86,10.0,29.25,enth11,28.09491
10.0,86,10.0,28.312,enth11,28.09491
10.0,86,10.0,29.75,enth11,28.09491
10.0,85,10.0,27.625,enth11,23.2814
10.0,85,10.0,27.438,enth11,23.2814
10.0,85,10.0,27.438,enth11,23.2814
10.0,85,10.0,29.438,enth11,24.03000069
10.0,85,10.0,28.625,enth11,23.2814
10.0,85,10.0,27.625,enth11,24.20000076
11.0,60,10.0,27.875,enth28,31.5389
11.0,60,10.0,28.125,enth28,31.494
11.0,60,10.0,28.875,enth28,31.5253
10.0,84,11.0,31.688,enth28,30.6367
10.0,78,11.0,30.312,enth28,29.8398
10.0,78,11.0,30.688,enth28,30.0463
10.0,78,11.0,31.0,enth28,30.0912
10.0,78,11.0,31.875,enth28,30.2831
10.0,78,11.0,31.562,enth28,29.9733
10.0,78,11.0,31.312,enth28,31.67
10.0,78,11.0,32.0,enth28,30.8599
10.0,78,11.0,32.062,enth28,30.8286
10.0,77,11.0,32.125,enth28,30.9621
10.0,78,11.0,31.625,enth28,30.9621
10.0,78,11.0,32.0,enth28,31.082
10.0,78,11.0,31.562,enth28,30.8286
10.0,76,11.0,30.0,enth28,29.336
9.0,77,10.0,26.625,enth28,24.412
9.0,77,10.0,26.875,enth28,24.412
9.0,77,10.0,29.75,enth28,24.412
9.0,77,10.0,29.812,enth28,24.412
9.0,77,10.0,29.812,enth28,24.412
9.0,77,10.0,29.5,enth28,24.412
10.0,77,11.0,28.938,enth28,28.33
10.0,77,11.0,28.625,enth28,29.9733
10.0,77,10.0,29.0,enth28,29.2912
10.0,77,11.0,28.812,enth28,28.33
10.0,77,11.0,28.5,enth28,28.851
10.0,77,10.0,28.5,enth28,29.603
10.0,75,11.0,26.812,enth28,28.33
10.0,75,10.0,26.938,enth28,30.5783
10.0,75,10.0,26.938,enth28,28.33
10.0,75,10.0,27.0,enth28,30.3112
